,step,cust_amt_mean,cust_amt_median,cust_txn_count,cust_amt_sum,cust_amt_range,cust_amt_iqr,cust_amt_cv,cust_amt_skewness,amt_vs_cust_mean_ratio,amt_vs_cust_q95_ratio,is_cust_extreme_spender,is_cust_consistent,is_cust_highly_volatile,is_cust_rare_user,amount_sqrt,amount_square,is_exact_round,is_very_high_amount,is_extreme_amount,is_micro_transaction,day_of_week,is_weekend,merchant_risk_score,merchant_diversity,is_high_risk_merchant,is_very_rare_merchant,merchant_avg_amount,amount_vs_merchant_avg
step,1.0,0.03155457215425803,0.01013753173246438,-0.10281114869271725,-0.0020710533663938257,0.02340883655133896,0.016759653491986295,0.03102834495946362,0.031584634032783096,-0.021735162863612982,-0.013346187914136956,0.013030957223115376,-0.006522710644692267,0.011998333528845113,0.08251685204397419,-0.011887151557811889,-0.004359839309754181,0.0030939201150633924,-0.012835205872141384,-0.004584691425155218,1.86093319098369e-05,0.00572016868085655,-0.008540209374950196,-0.04704445869913876,-0.008231927029596495,-0.007948671422363728,-0.001052352078234281,-0.017849762741625978,0.004657189291818968
cust_amt_mean,0.03155457215425803,1.0,0.7465547817649106,-0.14281955178247405,0.7165173175167363,0.7090352162713108,0.7602547426984212,0.42304505817121246,0.17661110029116142,4.267748908560378e-11,0.008333327626117291,0.6464494661335071,-0.0838351737951064,0.3075951270708778,0.2241870497695356,0.34768657294467614,0.25342433318283586,-0.00126956304580685,0.2844520928596085,0.2349938251003516,-0.020005275341781183,-0.0025123170605436352,-0.0023408754367885256,0.39180656582069673,-0.23740997548395715,0.10236717829313957,-0.0008811960427285538,0.3307608630927552,0.0623118536931357
cust_amt_median,0.01013753173246438,0.7465547817649106,1.0,-0.10062588006239824,0.43641935936970755,0.2488897986948509,0.65578003198966,0.03219275282589224,-0.04304331453008262,2.3098396315546787e-11,-0.0011711212314725647,0.276438603974829,0.017535480854397115,-0.008594729000806834,0.15003757281059388,0.27696936566860214,0.17358316095381207,-0.0010887491529772526,0.21294201031166654,0.1649793792718537,-0.020283517712762593,-0.004087506419634375,-0.002248097865184315,0.31386752148444397,-0.19413313522616413,0.08219428743398771,-0.0007591671155957512,0.24875152129408956,0.06198674057258009
cust_txn_count,-0.10281114869271725,-0.14281955178247405,-0.10062588006239824,1.0,0.25512919533795614,-0.006495310193893769,-0.049992177035290304,-0.03612593629870253,-0.08624890445858988,-1.1949511865832803e-11,0.010134138508392499,0.02296015420348469,-0.031842757913552545,-0.005589317916161341,-0.5409842214871965,-0.06915988497733246,-0.02453512931626948,0.001494598331434687,-0.03493108648822595,-0.026382120377943314,0.0025440601303875357,-0.0011428969702602543,-0.001612229224528334,-0.14148031080119897,0.1086351987830028,-0.01678937598622486,0.0019081957705252288,-0.07511839597769382,0.006068791981705908
cust_amt_sum,-0.0020710533663938257,0.7165173175167363,0.43641935936970755,0.25512919533795614,1.0,0.7481977523142311,0.6150072688865038,0.4635026985284882,0.16526390813331704,4.056601115862576e-11,0.018087853082812487,0.7256018202790666,-0.0993139699620888,0.3356770880726042,-0.04677600646988758,0.2858768656671751,0.13671828013014287,-0.0010214418520252805,0.24968186618666724,0.17323457038046317,-0.01763837170241602,-0.003302556076704657,-0.002667240284792167,0.33669600672765326,-0.1907121078904459,0.11261427296866883,-0.00041534891968190453,0.25187682528609506,0.06548640486762061
cust_amt_range,0.02340883655133896,0.7090352162713108,0.2488897986948509,-0.006495310193893769,0.7481977523142311,1.0,0.3547949228933015,0.7958464851474704,0.15493242694429696,4.4819376879950356e-11,0.06623806159107477,0.8498703017782212,-0.1333592930939859,0.6875654044910561,0.07218026351813155,0.2289814496347812,0.19373139772784503,-0.0005588452333323328,0.19832276013583863,0.17530226971720933,-0.007776962081646386,-0.0021721405477634036,-2.8960280978852544e-05,0.2386690956176793,-0.1364240526273126,0.06999411859407312,-0.0006803159782201988,0.22747219679972683,0.03701999470073325
cust_amt_iqr,0.016759653491986295,0.7602547426984212,0.65578003198966,-0.049992177035290304,0.6150072688865038,0.3547949228933015,1.0,0.0937657947279193,0.1465615724553417,2.595193630554674e-11,-0.014170602055299606,0.3820951607088364,-0.07883767818977434,-0.004459832198806673,0.15928799241565356,0.2915945693236412,0.16399048402571478,-0.0005372320409406564,0.2484443024059793,0.16895781935187504,-0.009258517551290415,-0.003993850067500406,-0.0032064547812432225,0.3748638141648199,-0.22540598835218234,0.10793806791388662,-0.0004111531383141612,0.26874666455333546,0.05022306303307581
cust_amt_cv,0.03102834495946362,0.42304505817121246,0.03219275282589224,-0.03612593629870253,0.4635026985284882,0.7958464851474704,0.0937657947279193,1.0,0.2767683344675724,4.8754501555971936e-11,0.0560100957849156,0.6508555203283003,-0.30132186535712807,0.7494688027498411,0.053123754817217914,0.13482087397773304,0.10396664199998368,0.002303340907924352,0.13570983229482803,0.11776487732873804,0.007984451595805894,-0.0009066475145572947,0.0017821385577125337,0.14047019084455054,-0.08752841930581871,0.038974441417198726,0.0008982176419319282,0.14467649570551352,0.009064706433573036
cust_amt_skewness,0.031584634032783096,0.17661110029116142,-0.04304331453008262,-0.08624890445858988,0.16526390813331704,0.15493242694429696,0.1465615724553417,0.2767683344675724,1.0,2.0554283867075915e-11,-0.04916484427523979,0.09491263514357973,-0.411685146621059,0.04102334398131976,0.12442342467509472,0.07938340654006376,0.020465238549636774,0.0003647470950823236,0.06340342149759305,0.036571219225294056,-0.008317638683251392,0.0033704192025652874,0.0005866181196695934,0.12146293506182922,-0.10851893929417226,0.03417383934717024,0.002534347969265025,0.07632434586560566,-0.011776004192246144
amt_vs_cust_mean_ratio,-0.021735162863612982,4.267748908560378e-11,2.3098396315546787e-11,-1.1949511865832803e-11,4.056601115862576e-11,4.4819376879950356e-11,2.595193630554674e-11,4.8754501555971936e-11,2.0554283867075915e-11,1.0,0.7750409668034248,3.652202540508369e-11,-1.1751944738357775e-11,2.968339715285773e-11,1.7079190017128505e-11,0.8390174020211341,0.37238024799721214,-0.00918199031914825,0.4733244445701056,0.4306928485523859,-0.19322518177701953,0.004691610673277142,0.0034363618459788865,0.3733844079679594,-0.4091014137349268,0.09037545411916573,0.023131806718355522,0.49848441735217486,0.5787843030777007
amt_vs_cust_q95_ratio,-0.013346187914136956,0.008333327626117291,-0.0011711212314725647,0.010134138508392499,0.018087853082812487,0.06623806159107477,-0.014170602055299606,0.0560100957849156,-0.04916484427523979,0.7750409668034248,1.0,0.05849573659959398,0.029789136594006317,0.07623584388623135,-0.013720974241601283,0.6086513594733531,0.5376776740850124,-0.00541384136052558,0.37804712567381954,0.4313530458626695,-0.11404614123848308,0.0035141529685804676,0.0005973108523350875,0.2507342823122055,-0.23743766782257716,0.03988022415010339,0.012153611385449866,0.4564968388883477,0.34423511631009607
